127.0.0.1 - - [18/Nov/2018:15:44:43 -0500] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [18/Nov/2018:15:45:01 -0500] "POST /K-CraftBacon-Back/special HTTP/1.1" 406 121
0:0:0:0:0:0:0:1 - - [18/Nov/2018:15:45:18 -0500] "POST /K-CraftBacon-Back/special HTTP/1.1" 406 136
0:0:0:0:0:0:0:1 - - [18/Nov/2018:15:45:33 -0500] "POST /K-CraftBacon-Back/special HTTP/1.1" 406 131
0:0:0:0:0:0:0:1 - - [18/Nov/2018:15:45:39 -0500] "POST /K-CraftBacon-Back/special HTTP/1.1" 406 132
0:0:0:0:0:0:0:1 - - [18/Nov/2018:15:45:48 -0500] "POST /K-CraftBacon-Back/special HTTP/1.1" 406 138
0:0:0:0:0:0:0:1 - - [18/Nov/2018:15:45:55 -0500] "POST /K-CraftBacon-Back/special HTTP/1.1" 406 138
0:0:0:0:0:0:0:1 - - [18/Nov/2018:15:46:02 -0500] "POST /K-CraftBacon-Back/special HTTP/1.1" 400 1127
0:0:0:0:0:0:0:1 - - [18/Nov/2018:15:46:10 -0500] "POST /K-CraftBacon-Back/special HTTP/1.1" 406 136
0:0:0:0:0:0:0:1 - - [18/Nov/2018:15:46:20 -0500] "POST /K-CraftBacon-Back/special HTTP/1.1" 201 140
